user,logins,failures,distinct_ips,distinct_countries,distinct_hosts,failure_ratio,anomaly,anomaly_score
user043,170,106.0,66,2,40,0.6235294117647059,-1,0.7897804335123715
user082,154,69.0,87,2,43,0.44805194805194803,-1,0.7027548422598912
user174,146,66.0,84,2,44,0.4520547945205479,-1,0.6743062822975336
user057,119,54.0,66,2,39,0.453781512605042,-1,0.6635300917288132
user051,93,35.0,61,2,38,0.3763440860215054,-1,0.6576726542108382
user085,126,55.0,78,2,44,0.4365079365079365,-1,0.6524993556606302
user171,108,37.0,74,2,45,0.3425925925925926,-1,0.6306710470894037
user147,101,33.0,73,2,42,0.32673267326732675,-1,0.6182034470118863
user072,77,18.0,67,2,38,0.23376623376623376,-1,0.6074236759416913
user002,51,1.0,51,1,34,0.0196078431372549,-1,0.6010849883119527
user158,77,3.0,77,3,40,0.03896103896103896,-1,0.5940845317990672
user074,78,4.0,78,3,46,0.05128205128205128,-1,0.5902213324004314
